"","From","To","dist","dist_hav","fx","fy","tx","ty","time_car","dist_car","climb","time_foot","dist_foot","climb"
"16",7,8,0.00586748975052706,615.01864203989,-46.3181302547804,-23.3858427542308,-46.3407797295031,-23.3774621898861,2.2623,1785.316,NA,14.2338,1186.157,NA
"24",7,169,0.0087486313699513,946.206342660431,-46.3407797295031,-23.3774621898861,-46.3181302547804,-23.3858427542308,3.37358333333333,3035.344,NA,16.47165,1372.645,NA
"26",8,7,0.00586748975052706,615.01864203989,-46.8726412257664,-23.5038872751411,-46.893361960033,-23.4961761407399,1.4258,1186.157,NA,14.2338,1186.157,NA
"27",8,9,0.00794217572621855,884.070258821111,-46.8726412257664,-23.5038872751411,-46.8894170194886,-23.4871893362933,2.6179,1309.02,NA,15.70815,1309.02,NA
"40",9,8,0.00794217572621855,884.070258821111,-46.8726412257664,-23.5038872751411,-46.8786071634403,-23.4844979484095,2.5918,1412.969,NA,15.70815,1309.02,NA
"66",16,223,0.00820397126295616,898.574271252493,-46.8679427781135,-23.5211148462211,-46.8417196988535,-23.5193081976617,4.36746666666667,2568.851,NA,30.1529666666667,2512.762,NA
"127",42,43,0.00854824713768156,944.561741781947,-46.8679427781135,-23.5211148462211,-46.8549494127271,-23.5330087919596,1.85648333333333,1285.941,NA,14.9713833333333,1247.629,NA
"132",42,56,0.00811933880107107,829.285949772872,-46.8679427781135,-23.5211148462211,-46.8391193915486,-23.5343109574227,2.34963333333333,1244.97,NA,14.3191333333333,1193.274,NA
"143",43,42,0.00854824713768156,944.561741781947,-46.8697018916689,-23.5433173250567,-46.8818872607013,-23.5457354369325,2.28908333333333,1247.629,NA,14.9713833333333,1247.629,NA
"151",43,56,0.00892170273423869,962.695014012652,-46.8697018916689,-23.5433173250567,-46.8868336020613,-23.5425793072602,2.68298333333333,1383.815,NA,14.4189333333333,1201.587,NA
"179",44,61,0.0092516018241439,963.330444499806,-46.8697018916689,-23.5433173250567,-46.8866255353165,-23.5346398602042,3.3004,1669.6,NA,19.9823,1665.21,NA
"202",45,63,0.00729876159624336,789.649619877013,-46.8697018916689,-23.5433173250567,-46.8868047331124,-23.5240350505715,3.31791666666667,1369.819,NA,16.4446,1370.398,NA
"346",51,52,0.00469718737869048,522.796030714423,-46.8697018916689,-23.5433173250567,-46.8549494127271,-23.5330087919596,3.38418333333333,1692.197,NA,19.8063,1650.544,NA
"365",52,51,0.00469718737869048,522.796030714423,-46.8697018916689,-23.5433173250567,-46.8465497378574,-23.5655859770046,3.80858333333333,1904.402,NA,19.8063,1650.544,NA
"371",52,59,0.00760554556158379,799.673289635189,-46.8818872607013,-23.5457354369325,-46.8697018916689,-23.5433173250567,2.48788333333333,1118.593,NA,13.1090833333333,1092.437,NA
"381",53,54,0.0090507441916187,938.53360803133,-46.8818872607013,-23.5457354369325,-46.8868336020613,-23.5425793072602,2.72611666666667,1545.283,NA,18.28765,1523.981,NA
"390",54,53,0.0090507441916187,938.53360803133,-46.8818872607013,-23.5457354369325,-46.8866255353165,-23.5346398602042,2.72611666666667,1545.283,NA,18.28765,1523.981,NA
"410",56,42,0.00811933880107107,829.285949772872,-46.8818872607013,-23.5457354369325,-46.8868047331124,-23.5240350505715,2.3322,1253.319,NA,14.3191333333333,1193.274,NA
"411",56,43,0.00892170273423869,962.695014012652,-46.8818872607013,-23.5457354369325,-46.8549494127271,-23.5330087919596,2.09988333333333,1277.802,NA,14.4189333333333,1201.587,NA
"455",58,59,0.0089403327139969,930.367767561288,-46.8818872607013,-23.5457354369325,-46.9167757778822,-23.5543797584189,2.55183333333333,1748.729,NA,16.226,1352.179,NA
